,Task name,Task description,Label,Task priority,Sprint number,Planned estimate,Actual estimate,Optimistic,Most likely,Pessimistic,Risk factor,Weighted average,Standard deviation,Confidence interval,Complexity factor,Final esimate,Unnamed: 16
75,JIRA integration with authentication and authorizations (Assuming we have the Jira account and credentials),Implementation of authentication and authorizations of Jira rest service.,EST_BE,Medium,ET Sprint 3,8,0,,,,,,,,,,
76,Authorisation setup - with our DB,,EST_BE,Medium,,16,0,,,,,,,,,,
77,Creation of database,,EST_BE,Medium,ET Sprint 1,8,8,,,,,,,,,,
78,Validation - error and success messages for all pages,implementing error and success messages for all functionalities.,EST_FE,Medium,ET Sprint 3,16,16,,,,,,,,,,
89,List of projects Dash board,Here getting projects from Jira dashboard by using project id.,EST_BE,Medium,ET Sprint 2,16,8,,,,,,,,,,
91,BE - labels should be part of import template.,,EST_BE,Medium,ET Sprint 4,8,0,,,,,,,,,,
92,BE - Import Excel standard format,,EST_BE,Medium,ET Sprint 4,8,0,,,,,,,,,,
120,Tune the model training parameters to improve accuracy - 5th variation,Experiment with model hyperparameters by observing the loss and accuracy graphs.,EST_AI,Medium,ET Sprint 4,12,0,,,,,,,,,,
121,Tune the model training parameters to improve accuracy - 4th variation,Experiment with model hyperparameters by observing the loss and accuracy graphs.,EST_AI,Medium,ET Sprint 4,12,0,,,,,,,,,,
122,Tune the model training parameters to improve accuracy - 3rd variation,Experiment with model hyperparameters by observing the loss and accuracy graphs.,EST_AI,Medium,ET Sprint 4,12,0,,,,,,,,,,
169,Face Calibration,,EST_AI,High,,20,0,,,,,,,,,,
176,Run project and expose api's,,EST_INFRA,Medium,,2,0,,,,,,,,,,
177,Deploy project to AWS,,EST_INFRA,Medium,,16,0,,,,,,,,,,
182,Test the model,,EST_AI,Medium,,2,0,,,,,,,,,,
183,AI Engine Previous Estimates,,EST_AI,Medium,,8,0,,,,,,,,,,
199,OTP Screen -- [Minor improvement -> Related to back button & input fields],,EST_FE,Medium,,1,0,,,,,,,,,,
204,BE - Import Feature,,EST_BE,Medium,ET Sprint 4,32,24,,,,,,,,,,
205,Tune the model training parameters to improve accuracy - 2nd variation,Experiment with model hyperparameters by observing the loss and accuracy graphs.,EST_AI,Medium,ET Sprint 4,12,12,,,,,,,,,,
206,BE - List of tasks - list view along edit and sync feature,Implementation of edit and task feature on list of tasks.,EST_BE,Medium,ET Sprint 4,16,0,,,,,,,,,,
207,Improve Model Performance (Iterative Process; 1 iteration = 7 Days),,EST_AI,High,ET Sprint 4,56,0,,,,,,,,,,
